# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w_meson_ns50_k0.00_v3_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# meson wavepacket at rest (k0=0); sigma_x=0.75; prep fidelity F=0.9946 (ns=8 certificate)
# completed-time grid: dispersion region only -- reproduce the low-omega ridge with a one-sided FT on data/w_meson_ns50_k0.00_v3.npz (see data/README.md)
q0,q1,ReW00,ImW00,window_spread
-0.8800,-1.507964,-2.364049e-02,0.000000e+00,1.396030e-02
-0.8800,-1.256637,-2.064157e-02,0.000000e+00,9.147470e-03
-0.8800,-1.005310,-1.743181e-02,0.000000e+00,5.600450e-03
-0.8800,-0.753982,-1.387567e-02,0.000000e+00,3.031261e-03
-0.8800,-0.502655,-9.754539e-03,0.000000e+00,1.380506e-03
-0.8800,-0.251327,-5.070298e-03,0.000000e+00,5.331203e-04
-0.8800,0.000000,6.571405e-05,0.000000e+00,6.189851e-04
-0.8800,0.251327,5.327010e-03,0.000000e+00,1.662262e-03
-0.8800,0.502655,1.044944e-02,0.000000e+00,3.834427e-03
-0.8800,0.753982,1.520908e-02,0.000000e+00,7.115880e-03
-0.8800,1.005310,1.966582e-02,0.000000e+00,1.159084e-02
-0.8800,1.256637,2.400179e-02,0.000000e+00,1.713610e-02
-0.8800,1.507964,2.858668e-02,0.000000e+00,2.373660e-02
-0.8800,1.759292,3.363524e-02,0.000000e+00,3.114318e-02
-0.8800,2.010619,3.917723e-02,0.000000e+00,3.920303e-02
-0.8800,2.261947,4.468759e-02,0.000000e+00,4.749549e-02
-0.8800,2.513274,4.917556e-02,0.000000e+00,5.572464e-02
-0.8800,2.764602,5.099896e-02,0.000000e+00,6.331500e-02
-0.8800,3.015929,4.828538e-02,0.000000e+00,6.984954e-02
-0.8400,-3.015929,-7.581427e-03,0.000000e+00,7.349991e-02
-0.8400,-2.764602,-1.995756e-02,0.000000e+00,6.156721e-02
-0.8400,-2.513274,-2.665734e-02,0.000000e+00,4.960584e-02
-0.8400,-2.261947,-2.911569e-02,0.000000e+00,3.853270e-02
-0.8400,-2.010619,-2.872621e-02,0.000000e+00,2.883085e-02
-0.8400,-1.759292,-2.680162e-02,0.000000e+00,2.083221e-02
-0.8400,-1.507964,-2.414416e-02,0.000000e+00,1.448294e-02
-0.8400,-1.256637,-2.121656e-02,0.000000e+00,9.669699e-03
-0.8400,-1.005310,-1.800651e-02,0.000000e+00,6.074395e-03
-0.8400,-0.753982,-1.439495e-02,0.000000e+00,3.499517e-03
-0.8400,-0.502655,-1.015545e-02,0.000000e+00,1.730347e-03
-0.8400,-0.251327,-5.291694e-03,0.000000e+00,7.854606e-04
-0.8400,0.000000,8.916570e-05,0.000000e+00,6.986330e-04
-0.8400,0.251327,5.645607e-03,0.000000e+00,1.667585e-03
-0.8400,0.502655,1.110592e-02,0.000000e+00,3.786232e-03
-0.8400,0.753982,1.623099e-02,0.000000e+00,7.195751e-03
-0.8400,1.005310,2.108821e-02,0.000000e+00,1.186274e-02
-0.8400,1.256637,2.587008e-02,0.000000e+00,1.778833e-02
-0.8400,1.507964,3.098069e-02,0.000000e+00,2.480449e-02
-0.8400,1.759292,3.665983e-02,0.000000e+00,3.279122e-02
-0.8400,2.010619,4.296526e-02,0.000000e+00,4.144348e-02
-0.8400,2.261947,4.936052e-02,0.000000e+00,5.050970e-02
-0.8400,2.513274,5.481818e-02,0.000000e+00,5.954654e-02
-0.8400,2.764602,5.759362e-02,0.000000e+00,6.819807e-02
-0.8400,3.015929,5.567862e-02,0.000000e+00,7.588706e-02
-0.8000,-3.015929,-2.288642e-03,0.000000e+00,8.039021e-02
-0.8000,-2.764602,-1.646764e-02,0.000000e+00,6.649399e-02
-0.8000,-2.513274,-2.458657e-02,0.000000e+00,5.282781e-02
-0.8000,-2.261947,-2.809014e-02,0.000000e+00,4.057828e-02
-0.8000,-2.010619,-2.841004e-02,0.000000e+00,2.997958e-02
-0.8000,-1.759292,-2.693552e-02,0.000000e+00,2.152250e-02
-0.8000,-1.507964,-2.453498e-02,0.000000e+00,1.487712e-02
-0.8000,-1.256637,-2.173719e-02,0.000000e+00,1.002513e-02
-0.8000,-1.005310,-1.856250e-02,0.000000e+00,6.383316e-03
-0.8000,-0.753982,-1.491472e-02,0.000000e+00,3.852514e-03
-0.8000,-0.502655,-1.056475e-02,0.000000e+00,2.009271e-03
