ns,E,p,delta
8,5.586141,1.269819,0.601954
10,5.546074,0.929886,0.816878
12,5.527440,0.724324,0.968621
12,5.703967,2.044943,0.148356
14,5.517607,0.590275,1.075630
14,5.647355,1.682178,0.395562
16,5.511871,0.497088,1.153240
16,5.610286,1.440288,0.522033
18,5.508260,0.428905,1.211518
18,5.584951,1.260944,0.608938
18,5.708100,2.071215,0.104311
20,5.505848,0.376985,1.256668
20,5.567009,1.119416,0.686103
20,5.669289,1.821821,0.315673
