# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w_meson_ns50_k1.26_v3_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# boosted meson wavepacket, k0=2pi/5=1.2566; prep fidelity F=0.9936; signed q1 grid (boost asymmetry)
# completed-time grid: dispersion region only -- reproduce the low-omega ridge with a one-sided FT on data/w_meson_ns50_k1.26_v3.npz (see data/README.md)
q0,q1,ReW00,ImW00,window_spread
-0.8800,-1.507964,-1.721552e-02,0.000000e+00,1.554023e-02
-0.8800,-1.256637,-1.573805e-02,0.000000e+00,1.144250e-02
-0.8800,-1.005310,-1.412137e-02,0.000000e+00,7.527419e-03
-0.8800,-0.753982,-1.221046e-02,0.000000e+00,4.805215e-03
-0.8800,-0.502655,-9.129829e-03,0.000000e+00,2.381233e-03
-0.8800,-0.251327,-5.013542e-03,0.000000e+00,1.450227e-03
-0.8800,0.000000,4.478999e-04,0.000000e+00,1.449306e-03
-0.8800,0.251327,6.602301e-03,0.000000e+00,3.766756e-03
-0.8800,0.502655,1.351720e-02,0.000000e+00,7.863473e-03
-0.8800,0.753982,2.074942e-02,0.000000e+00,1.490585e-02
-0.8800,1.005310,2.902069e-02,0.000000e+00,2.392339e-02
-0.8800,1.256637,3.872525e-02,0.000000e+00,3.569754e-02
-0.8800,1.507964,5.127367e-02,0.000000e+00,4.896325e-02
-0.8800,1.759292,6.707274e-02,0.000000e+00,6.466268e-02
-0.8800,2.010619,8.665742e-02,0.000000e+00,8.182208e-02
-0.8800,2.261947,1.084602e-01,0.000000e+00,1.019725e-01
-0.8800,2.513274,1.304310e-01,0.000000e+00,1.241513e-01
-0.8800,2.764602,1.482058e-01,0.000000e+00,1.495609e-01
-0.8800,3.015929,1.578560e-01,0.000000e+00,1.755847e-01
-0.8400,-3.015929,-1.647816e-02,0.000000e+00,5.438081e-02
-0.8400,-2.764602,-2.302821e-02,0.000000e+00,4.793245e-02
-0.8400,-2.513274,-2.481308e-02,0.000000e+00,4.006653e-02
-0.8400,-2.261947,-2.408500e-02,0.000000e+00,3.391915e-02
-0.8400,-2.010619,-2.178383e-02,0.000000e+00,2.715556e-02
-0.8400,-1.759292,-1.956231e-02,0.000000e+00,2.211001e-02
-0.8400,-1.507964,-1.750311e-02,0.000000e+00,1.659922e-02
-0.8400,-1.256637,-1.610546e-02,0.000000e+00,1.263099e-02
-0.8400,-1.005310,-1.453954e-02,0.000000e+00,8.285967e-03
-0.8400,-0.753982,-1.265662e-02,0.000000e+00,5.486358e-03
-0.8400,-0.502655,-9.518116e-03,0.000000e+00,2.611687e-03
-0.8400,-0.251327,-5.246166e-03,0.000000e+00,1.728171e-03
-0.8400,0.000000,5.312622e-04,0.000000e+00,1.565873e-03
-0.8400,0.251327,7.163005e-03,0.000000e+00,4.344245e-03
-0.8400,0.502655,1.476441e-02,0.000000e+00,8.789278e-03
-0.8400,0.753982,2.288703e-02,0.000000e+00,1.684636e-02
-0.8400,1.005310,3.231265e-02,0.000000e+00,2.670423e-02
-0.8400,1.256637,4.346028e-02,0.000000e+00,3.985501e-02
-0.8400,1.507964,5.784274e-02,0.000000e+00,5.407252e-02
-0.8400,1.759292,7.591669e-02,0.000000e+00,7.107539e-02
-0.8400,2.010619,9.830415e-02,0.000000e+00,8.897225e-02
-0.8400,2.261947,1.233907e-01,0.000000e+00,1.104170e-01
-0.8400,2.513274,1.490328e-01,0.000000e+00,1.337134e-01
-0.8400,2.764602,1.705505e-01,0.000000e+00,1.616127e-01
-0.8400,3.015929,1.836318e-01,0.000000e+00,1.906630e-01
-0.8000,-3.015929,-1.408666e-02,0.000000e+00,5.349802e-02
-0.8000,-2.764602,-2.159477e-02,0.000000e+00,4.722066e-02
-0.8000,-2.513274,-2.401696e-02,0.000000e+00,3.908590e-02
-0.8000,-2.261947,-2.370774e-02,0.000000e+00,3.355025e-02
-0.8000,-2.010619,-2.165469e-02,0.000000e+00,2.683317e-02
-0.8000,-1.759292,-1.960748e-02,0.000000e+00,2.238964e-02
-0.8000,-1.507964,-1.767166e-02,0.000000e+00,1.681767e-02
-0.8000,-1.256637,-1.639409e-02,0.000000e+00,1.316813e-02
-0.8000,-1.005310,-1.491859e-02,0.000000e+00,8.516986e-03
-0.8000,-0.753982,-1.309354e-02,0.000000e+00,5.827250e-03
-0.8000,-0.502655,-9.918176e-03,0.000000e+00,2.606815e-03
-0.8000,-0.251327,-5.489238e-03,0.000000e+00,1.929247e-03
-0.8000,0.000000,6.300240e-04,0.000000e+00,1.681334e-03
-0.8000,0.251327,7.803035e-03,0.000000e+00,5.042226e-03
-0.8000,0.502655,1.619245e-02,0.000000e+00,9.862345e-03
-0.8000,0.753982,2.535293e-02,0.000000e+00,1.899398e-02
-0.8000,1.005310,3.611946e-02,0.000000e+00,2.964345e-02
-0.8000,1.256637,4.893962e-02,0.000000e+00,4.414839e-02
-0.8000,1.507964,6.542039e-02,0.000000e+00,5.916638e-02
-0.8000,1.759292,8.607701e-02,0.000000e+00,7.732389e-02
-0.8000,2.010619,1.116187e-01,0.000000e+00,9.562707e-02
-0.8000,2.261947,1.404030e-01,0.000000e+00,1.180005e-01
-0.8000,2.513274,1.701962e-01,0.000000e+00,1.418398e-01
-0.8000,2.764602,1.960130e-01,0.000000e+00,1.716962e-01
-0.8000,3.015929,2.131328e-01,0.000000e+00,2.031841e-01
-0.7600,-3.015929,-1.091488e-02,0.000000e+00,5.508328e-02
-0.7600,-2.764602,-1.956233e-02,0.000000e+00,4.726323e-02
-0.7600,-2.513274,-2.277057e-02,0.000000e+00,3.825841e-02
-0.7600,-2.261947,-2.298764e-02,0.000000e+00,3.295099e-02
-0.7600,-2.010619,-2.126958e-02,0.000000e+00,2.599754e-02
-0.7600,-1.759292,-1.946007e-02,0.000000e+00,2.205581e-02
