ns,E,p,delta
8,1.907200,0.921690,1.298213
8,2.145942,1.464652,0.212288
10,1.872712,0.826706,1.074828
10,2.232023,1.641100,-0.961158
12,1.826471,0.684430,1.088304
12,2.166684,1.507397,-1.380599
14,1.795421,0.573506,1.134321
14,2.102193,1.373418,1.476222
16,1.775127,0.489756,1.182570
16,2.045421,1.251500,1.277187
18,1.761525,0.425703,1.225930
18,1.995757,1.139739,1.154360
18,2.232404,1.641879,-1.105271
20,1.752099,0.375673,1.263227
20,1.953408,1.039152,1.087426
20,2.175604,1.525711,-1.345370
