# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/sigma_vac_ns50.npz
# Re sigma(omega) = omega * ReW00 / q1^2 (Ward identity); band = omega*spread/q1^2
# gap at meson mass M = 2.7451 (excitonic insulator); sum rule saturated to 0.07%
omega,q1,Re_sigma,window_band
0.7600,0.251327,5.986185e-05,6.814333e-04
0.7600,0.502655,3.468758e-05,3.948893e-04
0.7600,0.753982,2.039764e-05,2.936587e-04
0.7800,0.251327,6.283556e-05,8.279116e-04
0.7800,0.502655,3.525314e-05,4.973959e-04
0.7800,0.753982,2.012424e-05,3.847692e-04
0.8000,0.251327,6.660646e-05,9.791439e-04
0.8000,0.502655,3.625756e-05,6.024580e-04
0.8000,0.753982,2.016577e-05,4.789406e-04
0.8200,0.251327,7.138037e-05,1.133753e-03
0.8200,0.502655,3.783374e-05,7.088681e-04
0.8200,0.753982,2.063792e-05,5.750566e-04
0.8400,0.251327,7.737348e-05,1.290349e-03
0.8400,0.502655,4.012166e-05,8.153907e-04
0.8400,0.753982,2.166341e-05,6.719510e-04
0.8600,0.251327,8.481123e-05,1.447575e-03
0.8600,0.502655,4.326762e-05,9.207909e-04
0.8600,0.753982,2.337119e-05,7.684332e-04
0.8800,0.251327,9.392741e-05,1.604138e-03
0.8800,0.502655,4.742351e-05,1.023866e-03
0.8800,0.753982,2.589585e-05,8.633158e-04
0.9000,0.251327,1.049635e-04,1.758863e-03
0.9000,0.502655,5.274641e-05,1.123476e-03
0.9000,0.753982,2.937704e-05,9.554433e-04
0.9200,0.251327,1.181686e-04,1.910728e-03
0.9200,0.502655,5.939820e-05,1.218579e-03
0.9200,0.753982,3.395904e-05,1.043723e-03
0.9400,0.251327,1.337994e-04,2.058912e-03
0.9400,0.502655,6.754564e-05,1.308265e-03
0.9400,0.753982,3.979065e-05,1.127155e-03
0.9600,0.251327,1.521212e-04,2.202835e-03
0.9600,0.502655,7.736063e-05,1.391784e-03
0.9600,0.753982,4.702518e-05,1.204866e-03
0.9800,0.251327,1.734093e-04,2.342201e-03
0.9800,0.502655,8.902092e-05,1.468584e-03
0.9800,0.753982,5.582087e-05,1.276134e-03
1.0000,0.251327,1.979510e-04,2.477034e-03
1.0000,0.502655,1.027112e-04,1.538338e-03
1.0000,0.753982,6.634148e-05,1.340426e-03
1.0200,0.251327,2.260483e-04,2.607716e-03
1.0200,0.502655,1.186245e-04,1.600971e-03
1.0200,0.753982,7.875743e-05,1.397418e-03
1.0400,0.251327,2.580217e-04,2.735012e-03
1.0400,0.502655,1.369644e-04,1.656688e-03
1.0400,0.753982,9.324718e-05,1.447028e-03
1.0600,0.251327,2.942145e-04,2.860102e-03
1.0600,0.502655,1.579474e-04,1.705993e-03
1.0600,0.753982,1.099991e-04,1.489431e-03
1.0800,0.251327,3.349979e-04,2.984596e-03
1.0800,0.502655,1.818061e-04,1.749705e-03
1.0800,0.753982,1.292139e-04,1.525084e-03
1.1000,0.251327,3.807772e-04,3.110548e-03
1.1000,0.502655,2.087924e-04,1.788974e-03
1.1000,0.753982,1.511071e-04,1.554739e-03
1.1200,0.251327,4.319987e-04,3.240464e-03
1.1200,0.502655,2.391821e-04,1.825284e-03
1.1200,0.753982,1.759127e-04,1.579454e-03
1.1400,0.251327,4.891572e-04,3.377297e-03
1.1400,0.502655,2.732790e-04,1.860457e-03
1.1400,0.753982,2.038867e-04,1.600598e-03
1.1600,0.251327,5.528049e-04,3.524438e-03
1.1600,0.502655,3.114206e-04,1.896646e-03
1.1600,0.753982,2.353109e-04,1.619852e-03
1.1800,0.251327,6.235598e-04,3.685699e-03
1.1800,0.502655,3.539830e-04,1.936328e-03
1.1800,0.753982,2.704981e-04,1.639202e-03
1.2000,0.251327,7.021163e-04,3.865286e-03
1.2000,0.502655,4.013872e-04,1.982280e-03
1.2000,0.753982,3.097968e-04,1.660930e-03
1.2200,0.251327,7.892550e-04,4.067760e-03
1.2200,0.502655,4.541059e-04,2.037558e-03
1.2200,0.753982,3.535965e-04,1.687592e-03
1.2400,0.251327,8.858535e-04,4.304470e-03
1.2400,0.502655,5.126693e-04,2.141345e-03
1.2400,0.753982,4.023335e-04,1.722001e-03
1.2600,0.251327,9.928976e-04,4.647238e-03
1.2600,0.502655,5.776727e-04,2.307365e-03
1.2600,0.753982,4.564965e-04,1.809692e-03
1.2800,0.251327,1.111492e-03,5.010721e-03
1.2800,0.502655,6.497830e-04,2.482975e-03
1.2800,0.753982,5.166333e-04,1.946084e-03
1.3000,0.251327,1.242872e-03,5.395388e-03
1.3000,0.502655,7.297464e-04,2.668325e-03
1.3000,0.753982,5.833564e-04,2.090008e-03
1.3200,0.251327,1.388414e-03,5.801607e-03
1.3200,0.502655,8.183946e-04,2.863497e-03
1.3200,0.753982,6.573494e-04,2.241527e-03
1.3400,0.251327,1.549646e-03,6.229620e-03
1.3400,0.502655,9.166522e-04,3.068500e-03
1.3400,0.753982,7.393733e-04,2.400646e-03
1.3600,0.251327,1.728258e-03,6.679535e-03
1.3600,0.502655,1.025543e-03,3.283258e-03
1.3600,0.753982,8.302718e-04,2.567297e-03
1.3800,0.251327,1.926108e-03,7.151310e-03
1.3800,0.502655,1.146195e-03,3.507602e-03
1.3800,0.753982,9.309778e-04,2.741337e-03
1.4000,0.251327,2.145236e-03,7.778632e-03
1.4000,0.502655,1.279848e-03,3.741261e-03
1.4000,0.753982,1.042518e-03,2.922537e-03
1.4200,0.251327,2.387865e-03,8.497676e-03
1.4200,0.502655,1.427857e-03,3.983855e-03
1.4200,0.753982,1.166017e-03,3.110579e-03
1.4400,0.251327,2.656410e-03,9.295304e-03
1.4400,0.502655,1.591695e-03,4.290837e-03
1.4400,0.753982,1.302702e-03,3.305043e-03
1.4600,0.251327,2.953478e-03,1.017491e-02
1.4600,0.502655,1.772958e-03,4.737809e-03
1.4600,0.753982,1.453907e-03,3.550212e-03
1.4800,0.251327,3.281874e-03,1.113919e-02
1.4800,0.502655,1.973365e-03,5.237392e-03
1.4800,0.753982,1.621073e-03,3.931399e-03
1.5000,0.251327,3.644597e-03,1.219010e-02
1.5000,0.502655,2.194760e-03,5.790942e-03
1.5000,0.753982,1.805750e-03,4.359116e-03
1.5200,0.251327,4.044839e-03,1.332870e-02
1.5200,0.502655,2.439109e-03,6.399180e-03
1.5200,0.753982,2.009597e-03,4.834407e-03
1.5400,0.251327,4.485980e-03,1.455514e-02
1.5400,0.502655,2.708498e-03,7.062140e-03
1.5400,0.753982,2.234381e-03,5.357719e-03
1.5600,0.251327,4.971579e-03,1.586854e-02
1.5600,0.502655,3.005132e-03,7.779107e-03
1.5600,0.753982,2.481975e-03,5.928842e-03
1.5800,0.251327,5.505363e-03,1.726698e-02
1.5800,0.502655,3.331325e-03,8.548575e-03
1.5800,0.753982,2.754354e-03,6.546863e-03
1.6000,0.251327,6.091216e-03,1.874739e-02
1.6000,0.502655,3.689494e-03,9.368199e-03
1.6000,0.753982,3.053588e-03,7.210120e-03
1.6200,0.251327,6.733163e-03,2.030557e-02
1.6200,0.502655,4.082151e-03,1.023477e-02
1.6200,0.753982,3.381836e-03,7.916168e-03
1.6400,0.251327,7.435345e-03,2.193612e-02
1.6400,0.502655,4.511891e-03,1.114420e-02
1.6400,0.753982,3.741337e-03,8.661752e-03
1.6600,0.251327,8.202004e-03,2.363247e-02
1.6600,0.502655,4.981375e-03,1.209148e-02
1.6600,0.753982,4.134402e-03,9.442787e-03
1.6800,0.251327,9.037454e-03,2.538684e-02
1.6800,0.502655,5.493323e-03,1.307074e-02
1.6800,0.753982,4.563397e-03,1.025436e-02
1.7000,0.251327,9.946051e-03,2.719030e-02
1.7000,0.502655,6.050489e-03,1.407519e-02
