# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w00_vac_ns50_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# vacuum polarization: ridge along q0 = E(q1) is the meson dispersion
q0,q1,ReW00,ImW00,window_spread
-0.2600,1.005310,-2.002905e-04,1.181370e-06,7.647626e-05
-0.2600,1.256637,-2.769268e-04,3.119574e-07,6.540344e-05
-0.2600,1.507964,-3.474960e-04,-1.056099e-06,2.517284e-04
-0.2600,1.759292,-4.270668e-04,-2.803194e-06,5.064267e-04
-0.2600,2.010619,-4.976508e-04,-4.750670e-06,8.931848e-04
-0.2600,2.261947,-5.787643e-04,-6.685282e-06,1.262219e-03
-0.2600,2.513274,-6.513613e-04,-8.387642e-06,1.687651e-03
-0.2600,2.764602,-7.377843e-04,-9.661053e-06,1.986296e-03
-0.2600,3.015929,-8.140095e-04,-1.035721e-05,2.258898e-03
-0.2200,0.000000,-7.266012e-06,9.621450e-20,1.347711e-05
-0.2200,0.251327,-3.600759e-05,7.712325e-07,4.322599e-05
-0.2200,0.502655,-7.474845e-05,1.333008e-06,7.537902e-05
-0.2200,0.753982,-1.358691e-04,1.508624e-06,1.710556e-04
-0.2200,1.005310,-1.993740e-04,1.181370e-06,1.804976e-04
-0.2200,1.256637,-2.774961e-04,3.119574e-07,1.843112e-04
-0.2200,1.507964,-3.501299e-04,-1.056099e-06,8.222116e-05
-0.2200,1.759292,-4.326990e-04,-2.803194e-06,2.639519e-04
-0.2200,2.010619,-5.059701e-04,-4.750670e-06,6.363873e-04
-0.2200,2.261947,-5.894789e-04,-6.685282e-06,1.020358e-03
-0.2200,2.513274,-6.627671e-04,-8.387642e-06,1.505797e-03
-0.2200,2.764602,-7.486056e-04,-9.661053e-06,1.899588e-03
-0.2200,3.015929,-8.219915e-04,-1.035721e-05,2.307526e-03
-0.1800,0.000000,-7.059314e-06,3.161127e-19,1.196804e-05
-0.1800,0.251327,-3.517566e-05,7.712325e-07,5.189453e-05
-0.1800,0.502655,-7.292027e-05,1.333008e-06,9.935392e-05
